level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	512	720	-1	
2	1	1	0	0	0	48	61	371	306	-1	
3	1	1	1	0	0	48	61	274	23	-1	
4	1	1	1	1	0	48	61	274	23	-1	
5	1	1	1	1	1	48	61	44	18	96.951469	The
5	1	1	1	1	2	101	62	53	22	92.496643	gate
5	1	1	1	1	3	163	61	92	18	92.496643	creaked
5	1	1	1	1	4	266	61	56	18	96.064545	shut.
3	1	1	2	0	0	48	109	324	71	-1	
4	1	1	2	1	0	50	109	322	23	-1	
5	1	1	2	1	1	50	109	49	18	96.171410	Rain
5	1	1	2	1	2	110	109	71	23	95.101768	began
5	1	1	2	1	3	191	109	44	23	95.101768	just
5	1	1	2	1	4	244	109	55	18	96.317848	after
5	1	1	2	1	5	309	114	63	13	96.317848	noon.
4	1	1	2	2	0	48	157	275	23	-1	
5	1	1	2	2	1	48	157	44	18	96.492226	The
5	1	1	2	2	2	100	157	39	18	96.705521	fire
5	1	1	2	2	3	148	157	98	18	95.701897	crackled
5	1	1	2	2	4	257	157	66	23	96.441330	softly.
3	1	1	3	0	0	48	205	257	23	-1	
4	1	1	3	1	0	48	205	257	23	-1	
5	1	1	3	1	1	48	205	16	18	92.548431	A
5	1	1	3	1	2	73	205	47	23	92.548431	ship
5	1	1	3	1	3	131	205	37	18	96.265785	left
5	1	1	3	1	4	177	205	37	18	96.926506	the
5	1	1	3	1	5	225	205	80	18	96.932518	harbor.
3	1	1	4	0	0	48	253	371	114	-1	
4	1	1	4	1	0	48	253	371	23	-1	
5	1	1	4	1	1	48	253	44	18	96.186668	The
5	1	1	4	1	2	102	253	50	18	96.186668	road
5	1	1	4	1	3	163	253	79	18	95.827934	curved
5	1	1	4	1	4	254	254	49	22	96.755539	past
5	1	1	4	1	5	312	253	38	18	94.402885	the
5	1	1	4	1	6	358	253	61	18	96.784561	farm.
4	1	1	4	2	0	50	301	363	18	-1	
5	1	1	4	2	1	50	301	80	18	96.638718	Leaves
5	1	1	4	2	2	141	301	92	18	96.493805	covered
5	1	1	4	2	3	244	301	38	18	96.493805	the
5	1	1	4	2	4	291	301	34	18	96.411621	old
5	1	1	4	2	5	337	301	76	18	96.878181	bench.
4	1	1	4	3	0	48	349	335	18	-1	
5	1	1	4	3	1	48	349	44	18	96.879890	The
5	1	1	4	3	2	102	354	64	13	96.006386	moon
5	1	1	4	3	3	178	354	48	13	96.006386	rose
5	1	1	4	3	4	236	354	52	13	96.321312	over
5	1	1	4	3	5	297	349	38	18	96.468185	the
5	1	1	4	3	6	345	349	38	18	96.440117	hill.
